Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,,N/A,N/A,N/A
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-base a-color-secondary a-text-normal"">Price and other details may vary based on product size and colour.</span>",N/A,N/A,Price
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-medium a-color-base a-text-normal"">Skybags Brat Black 46 Cms Casual Backpack</span>",₹649,4.1,"5,522"
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-medium a-color-base a-text-normal"">American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK)</span>","₹1,199",4.0,"55,248"
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-medium a-color-base a-text-normal"">Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment &amp; Rain Cover</span>",₹849,3.9,"3,442"
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-base-plus a-color-base a-text-normal"">MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent</span>",₹310,4.1,Amazon’s
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-base-plus a-color-base a-text-normal"">MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent</span>",₹310,4.1,74
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-base-plus a-color-base a-text-normal"">Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)</span>",₹329,4.3,"30,597"
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-base-plus a-color-base a-text-normal"">Amazon Basics Laptop Backpack</span>",₹649,4.2,504
https://www.amazon.inhttps://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=ksIMQ&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=4MXWRQAZHCKEZB0QSCB7&pd_rd_wg=NUdGz&pd_rd_r=54ba28d4-66bf-46d1-8531-840b05477572&qid=1692636130,"<span class=""a-size-base-plus a-color-base a-text-normal"">Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW</span>",₹298,4.0,385
